    igrf20s
 10  6371.2 2025.0
   1  0      5.70     0.00
   1  1      7.40   -25.90
   2  0    -11.00     0.00
   2  1     -7.00   -30.20
   2  2     -2.10   -22.40
   3  0      2.20     0.00
   3  1     -5.90     6.00
   3  2      3.10    -1.10
   3  3    -12.00     0.50
   4  0     -1.20     0.00
   4  1     -1.60    -0.10
   4  2     -5.90     6.50
   4  3      5.20     3.60
   4  4     -5.10    -5.00
   5  0     -0.30     0.00
   5  1      0.50     0.00
   5  2     -0.60     2.50
   5  3      0.20    -0.60
   5  4      1.30     3.00
   5  5      0.90     0.30
   6  0     -0.50     0.00
   6  1     -0.30     0.00
   6  2      0.40    -1.60
   6  3      1.30    -1.30
   6  4     -1.40     0.80
   6  5      0.00     0.00
   6  6      0.90     1.00
   7  0     -0.10     0.00
   7  1     -0.20     0.60
   7  2      0.00     0.60
   7  3      0.70    -0.80
   7  4      0.10    -0.20
   7  5     -0.50    -1.10
   7  6     -0.80     0.10
   7  7      0.80     0.30
   8  0      0.00     0.00
   8  1      0.10    -0.20
   8  2     -0.10     0.60
   8  3      0.40    -0.20
   8  4     -0.10     0.50
   8  5      0.40    -0.30
   8  6      0.30    -0.40
   8  7     -0.10     0.50
   8  8      0.40     0.00
   9  0      0.00     0.00
   9  1      0.00     0.00
   9  2      0.00     0.00
   9  3      0.00     0.00
   9  4      0.00     0.00
   9  5      0.00     0.00
   9  6      0.00     0.00
   9  7      0.00     0.00
   9  8      0.00     0.00
   9  9      0.00     0.00
  10  0      0.00     0.00
  10  1      0.00     0.00
  10  2      0.00     0.00
  10  3      0.00     0.00
  10  4      0.00     0.00
  10  5      0.00     0.00
  10  6      0.00     0.00
  10  7      0.00     0.00
  10  8      0.00     0.00
  10  9      0.00     0.00
  10 10      0.00     0.00
