    igrf10
 10  6371.2 2010.0
   1  0 -29496.57     0.00
   1  1  -1586.42  4944.26
   2  0  -2396.06     0.00
   2  1   3026.34 -2708.54
   2  2   1668.17  -575.73
   3  0   1339.85     0.00
   3  1  -2326.54  -160.40
   3  2   1232.10   251.75
   3  3    633.73  -537.03
   4  0    912.66     0.00
   4  1    808.97   286.48
   4  2    166.58  -211.03
   4  3   -356.83   164.46
   4  4     89.40  -309.72
   5  0   -230.87     0.00
   5  1    357.29    44.58
   5  2    200.26   189.01
   5  3   -141.05  -118.06
   5  4   -163.17    -0.01
   5  5     -8.03   101.04
   6  0     72.78     0.00
   6  1     68.69   -20.90
   6  2     75.92    44.18
   6  3   -141.40    61.54
   6  4    -22.83   -66.26
   6  5     13.10     3.02
   6  6    -78.09    55.40
   7  0     80.44     0.00
   7  1    -75.00   -57.80
   7  2     -4.55   -21.20
   7  3     45.24     6.54
   7  4     14.00    24.96
   7  5     10.46     7.03
   7  6      1.64   -27.61
   7  7      4.92    -3.28
   8  0     24.41     0.00
   8  1      8.21    10.84
   8  2    -14.50   -20.03
   8  3     -5.59    11.83
   8  4    -19.34   -17.41
   8  5     11.61    16.71
   8  6     10.85     6.96
   8  7    -14.05   -10.74
   8  8     -3.54     1.64
   9  0      5.50     0.00
   9  1      9.45   -20.54
   9  2      3.45    11.51
   9  3     -5.27    12.75
   9  4      3.13    -7.14
   9  5    -12.38    -7.42
   9  6     -0.76     7.97
   9  7      8.43     2.14
   9  8     -8.42    -6.08
   9  9    -10.08     7.01
  10  0     -1.94     0.00
  10  1     -6.24     2.73
  10  2      0.89    -0.10
  10  3     -1.07     4.71
  10  4     -0.16     4.44
  10  5      2.45    -7.22
  10  6     -0.33    -0.96
  10  7      2.13    -3.95
  10  8      3.09    -1.99
  10  9     -1.03    -1.97
  10 10     -2.80    -8.31
